"nomCru"	"country_label"	"subregion_label"	"area_label"	"label"	"millesime"	"volume"	"date_achat"	"prix"	"cote"	"quantite_courante"	"quantite_achat"	"garde_min"	"garde_max"	"garde_optimum"	"suggestion"	"comment"	"lieu_achat"	"canal_vente"
"Château Léoville Barton"	"France"	"Bordeaux"	"Saint Julien"	"rouge"	"2011"	"75 cl"	"2016-10-17"	"51.60"	"51.60"	"1"	"1"	"4"	"25"	"4"			"Foire aux vins leclerc"	"Grande surface"
"Château Léoville Las Cases"	"France"	"Bordeaux"	"Saint Julien"	"rouge"	"2014"	"75 cl"	"2018-04-17"	"118.00"	"118.00"	"1"	"1"	"4"	"25"	"4"			"Ebay"	"Achat sur Internet"
"Château Léoville Las Cases"	"France"	"Bordeaux"	"Saint Julien"	"rouge"	"1998"	"75 cl"	"2018-04-22"	"120.00"	"120.00"	"1"	"1"	"4"	"25"	"4"			"Ebay"	"Achat à un particulier"
"Château Lestage"	"France"	"Bordeaux"	"Montagne-Saint-Emilion"	"rouge"	"2012"	"75 cl"	"2016-02-16"	"0.00"	"0.00"	"1"	"1"	"4"	"15"	"4"			"Petit ballon"	"Cadeau"
"Château Lynch-Moussas"	"France"	"Bordeaux"	"Pauillac"	"rouge"	"2003"	"75 cl"	"2016-02-06"	"0.00"	"0.00"	"1"	"1"	"4"	"25"	"4"			"Cadeau Guilhem"	"Cadeau"
"Château Maucaillou"	"France"	"Bordeaux"	"Moulis-en-Médoc"	"rouge"	"2009"	"75 cl"	"2012-10-01"	"18.00"	"22.00"	"6"	"6"	"4"	"15"	"4"		"Note : 89. . Cote : Mix Internet"	"Leclerc"	"Grande surface"
"Château Maucaillou"	"France"	"Bordeaux"	"Moulis-en-Médoc"	"rouge"	"2010"	"75 cl"	"2013-09-12"	"21.80"	"21.80"	"6"	"6"	"4"	"15"	"4"			"Carrefour Lorient"	"Grande surface"
"Chateau Megyer Aszú 4 Puttonyos"	"Hongrie"	"Nord Est"	"Tokaj-Hegyalja ou Tokaji"	"blanc liquoreux"	"1988"	"75 cl"	"2016-01-24"	"0.00"	"0.00"	"1"	"1"	"10"	"35"	"15"			"Cave papa"	"Cadeau"
"Château Meyney"	"France"	"Bordeaux"	"Saint Estèphe"	"rouge"	"2009"	"75 cl"	"2012-10-01"	"22.80"	"24.60"	"4"	"6"	"4"	"30"	"4"		"Note : 88. . Cote : 24.60 (12/2012). . Source : http://www.wine-searcher.com/find/meyney/2009"	"Leclerc"	"Non défini"
"Château Mondésir-Gazin"	"France"	"Bordeaux"	"Blaye"	"rouge"	"2010"	"75 cl"	"2015-01-01"	"0.00"	"14.50"	"1"	"1"	"3"	"8"	"3"				"Cadeau"
